BUS  250  02 Principles of Management,,V Nguyen,MWF,02:00 PM,02:50 PM,Stuart Hall,1.00
BUS  315  01 Business Law I,,J Christensen,TR,12:30 PM,01:50 PM,Stuart Hall,1.00
BUS  315  02 Business Law I,,J Christensen,TR,02:00 PM,03:20 PM,Stuart Hall,1.00
BUS  330  01W Principles of Marketing,,P Carstens,TR,08:00 AM,09:20 AM,Stuart Hall,1.00
BUS  350  01 Principles of Finance,,J Chen,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
BUS  387  01 Adv Top:Human Res Mgt,,V Nguyen,MWF,09:00 AM,09:50 AM,Stuart Hall,1.00
BUS  400  01 Legal Issues in Sports,,J Christensen,TR,09:30 AM,10:50 AM,Stuart Hall,41.00
BUS  454  01 Research in Business,,P Carstens,M,06:00 PM,09:00 PM,Stuart Hall,1.00
BUS  460  01W Advertising,,P Carstens,TR,09:30 AM,10:50 AM,Stuart Hall,1.00
BUS  470  01W Strategic Management,,P Carstens,TR,12:30 PM,01:50 PM,Stuart Hall,1.00
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Business Administration,,,,,,
BUS  494  01 Internship in Business,R Kuennen,,00:00 AM,00:00 AM,Arranged,A1.00
BUS  494  02 Internship in Business,C Melcher,,00:00 AM,00:00 AM,Arranged,A1.00
BUS  494  03 Internship in Business,P Carstens,,00:00 AM,00:00 AM,Arranged,A1.00
BUS  494  04 Internship in Business,R Baranowski,,00:00 AM,00:00 AM,Arranged,A1.00
BUS  495  01 Investment Analysis,J Chen,MWF,10:00 AM,10:50 AM,Stuart Hall,1.00
Crimson Fellows Program,,,,,,
CFP  104  01 Topics in Fellow:Knowledge &Enquiry,G Chaplin,W,03:00 PM,04:20 PM,Struve Comm Ctr,0.20
meets first 7 weeks,,,,,,
CFP  104  02 Topics CFP:Leadership in Society,G Chaplin,W,03:00 PM,04:20 PM,Struve Comm Ctr,0.20
meets second 7 weeks,,,,,,
CFP  301  01W Communicating Across Disciplines I,A Carr,MW,02:00 PM,03:20 PM,Struve Comm Ctr,40.50
meets first 7 weeks,,,,,,
CFP  302  01W Communicating Across Disciplines II,A Carr,MW,02:00 PM,03:20 PM,Struve Comm Ctr,40.50
meets second 7 weeks,,,,,,
CFP  401  01 Action Research I,D Westberg,T,09:30 AM,11:00 AM,Struve Comm Ctr,0.50
